

 clock  | self+sourced |   self:|  sourced script
000.201 | 000.201| |--- NVIM STARTING ---
003.654 | 003.453| |locale set
005.377 | 001.723| |inits 1
005.432 | 000.055| |window checked
005.886 | 000.454| |parsing arguments
008.501 | 002.615| |expanding arguments
008.785 | 000.284| |inits 2
010.373 | 001.587| |init highlight
010.419 | 000.046| |waiting for UI
021.778 | 011.360| |done waiting for UI
021.799 | 000.021| |init screen for UI
022.762 | 000.170| 000.170| sourcing /Users/jordanmandel/.config/nvim/my_config_files/premade.vim
026.437 | 000.093| 000.093| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/opt/minpac/plugin/minpac.vim
027.677 | 000.240 | 000.240| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/opt/minpac/autoload/minpac.vim
028.942 | 000.166 | 000.166| sourcing /Users/jordanmandel/.config/nvim/my_config_files/minpac_setup.vim
032.735 | 003.387 | 003.387| sourcing /Users/jordanmandel/.config/nvim/my_config_files/vim_colorschemes.vim
037.164 | 004.166 | 004.166| sourcing /Users/jordanmandel/.config/nvim/my_config_files/vim_plugins.vim
199.788 | 119.800 | 119.800| sourcing /Users/jordanmandel/.config/nvim/my_config_files/treesitterconfig.vim
219.670 | 019.477 | 019.477| sourcing /Users/jordanmandel/.config/nvim/my_config_files/lspconfig.vim
219.721 | 181.958 | 042.681| sourcing /Users/jordanmandel/.config/nvim/my_config_files/nvim_plugins.vim
225.255 | 005.308 | 005.308| sourcing /Users/jordanmandel/.config/nvim/my_config_files/nvim_colorschemes.vim
243.520 | 017.285 | 017.285| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nightfox.nvim/colors/nightfox.vim
254.870 | 000.073 | 000.073| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/elixir.vim
254.991 | 000.031 | 000.031| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/fennel.vim
255.101 | 000.034 | 000.034| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/fish.vim
255.208 | 000.035 | 000.035| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/gdresource.vim
255.307 | 000.027 | 000.027| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/gdscript.vim
255.413 | 000.035 | 000.035| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/glimmer.vim
255.524 | 000.030 | 000.030| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/gomod.vim
255.637 | 000.042 | 000.042| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/graphql.vim
255.754 | 000.044 | 000.044| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/hcl.vim
255.859 | 000.033 | 000.033| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/heex.vim
255.972 | 000.040 | 000.040| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/hjson.vim
256.082 | 000.033 | 000.033| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/json5.vim
256.194 | 000.035 | 000.035| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/julia.vim
256.314 | 000.043 | 000.043| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/ledger.vim
256.431 | 000.039 | 000.039| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/nix.vim
256.547 | 000.041 | 000.041| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/ql.vim
256.677 | 000.054 | 000.054| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/query.vim
256.797 | 000.041 | 000.041| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/surface.vim
256.910 | 000.036 | 000.036| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/teal.vim
257.025 | 000.038 | 000.038| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/tlaplus.vim
257.144 | 000.042 | 000.042| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/yang.vim
257.344 | 000.043 | 000.043| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/zig.vim
257.826 | 000.393 | 000.393| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/vim-kitty/ftdetect/kitty.vim
259.844 | 015.666 | 014.405| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/filetype.vim
261.176 | 000.111 | 000.111| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/ftplugin.vim
262.715 | 000.113 | 000.113| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/indent.vim
267.347 | 244.893 | 016.230| sourcing /Users/jordanmandel/.config/nvim/init.vim
267.369 | 000.677|       |sourcin vimrc file(s)
272.767 | 000.501 | 000.501| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/syncolor.vim
275.293 | 000.233 | 000.233| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/syncolor.vim
284.128 | 014.962 | 014.228| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/start/nightfox.nvim/colors/nightfox.vim
284.757 | 016.952 | 001.991| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/synload.vim
285.153 | 017.607 | 000.655| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/syntax.vim
293.258 | 000.099 | 000.099| sourcing /Users/jordanmandel/.config/nvim/pack/minpac/opt/minpac/plugin/minpac.vim
295.804 | 000.516 | 000.516| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/plugin/gzip.vim
296.024 | 000.053 | 000.053| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/plugin/health.vim
296.439 | 000.313 | 000.313| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/plugin/man.vim
300.008 | 000.348 | 000.348| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
300.353 | 003.770 | 003.422| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/plugin/matchit.vim
